Lattitude,Longitude,Distance,speed,heartRate
-37.851154,145.113098,0.379741,0.094912,73
-37.851154,145.113098,0.379741,0.094912,68
-37.851158,145.113098,0.379741,0.189871,70
-37.851158,145.113098,0.379741,0.189871,73
-37.851154,145.113098,0.379741,0.189966,68
-37.851154,145.113098,0.379741,0.189966,69
-37.851151,145.113098,0.379741,0.189586,71
-37.851151,145.113098,0.379741,0.189586,72
-37.851151,145.113098,0.379741,0.189586,72
-37.851154,145.113098,0.379741,0.126538,69
-37.851154,145.113113,2.398772,2.401173,70
-37.851151,145.113113,0.379741,0.380121,72
-37.851147,145.113113,0.379741,0.378605,70
-37.851143,145.113129,1.258066,1.259326,69
-37.851143,145.113129,1.258066,1.259326,68
-37.851147,145.113129,0.379741,0.190156,70
-37.851154,145.113159,14496321,5693763,73
-37.851166,145.113144,0.379741,0.578874,71
-37.85117,145.113144,0.379741,0.379741,70
-37.851173,145.113129,1.258066,1.258066,73
-37.851173,145.113129,1.258066,1.258066,68
-37.85117,145.113129,0.379741,0.189681,68
-37.85117,145.113129,0.379741,0.189681,72
-37.85117,145.113129,0.379741,0.189681,68
-37.851173,145.113129,0.379741,0.126707,70
-37.851173,145.113129,0.379741,0.126707,69
-37.851173,145.113113,1.199386,0.599693,71
-37.851173,145.113113,1.199386,0.599693,73
-37.851173,145.113113,1.199386,0.599693,71
-37.85117,145.113113,0.379741,0.126496,73
-37.851173,145.113098,2.428643,2.431074,68
-37.851173,145.113098,2.428643,2.431074,73
-37.851177,145.113098,0.379741,0.189681,68
-37.851177,145.113113,2.398771,2.393983,68
-37.851177,145.113113,2.398771,2.393983,73
-37.851173,145.113113,0.379741,0.190156,70
-37.85117,145.113113,0.379741,0.379362,69
-37.851154,145.113129,2.245799,2.243555,73
-37.851143,145.113144,1.654194,1.65585,70
-37.851135,145.113144,0.759482,0.758724,70
-37.851131,145.113144,0.379741,0.380884,72
-37.851128,145.113144,0.379741,0.378605,69
-37.851124,145.113129,1.419627,1.421048,71
-37.851116,145.113129,0.759482,0.760243,68
-37.851116,145.113129,0.759482,0.760243,68
-37.851116,145.113129,0.759482,0.760243,69
-37.851112,145.113129,0.379741,0.126665,71
-37.851112,145.113129,0.379741,0.126665,73
-37.851112,145.113129,0.379741,0.126665,72
